1,26,34,60,0,8,0,4,4
2,25,69,93,7,5,3,9,2
3,12,7,92,0,5,6,5,4
4,29,44,17,1,3,8,9,1
5,21,1,62,7,6,8,9,9
6,17,8,34,4,8,3,10,2
7,39,39,97,8,6,5,2,6
8,31,14,80,10,8,10,5,7
9,10,8,23,6,3,2,8,3
10,11,88,8,5,0,3,2,2
11,13,26,22,6,3,9,7,10
12,20,65,42,0,2,7,6,8
13,23,96,81,8,0,1,10,5
14,28,97,52,0,0,6,7,10
15,28,7,93,7,0,2,8,2
16,13,70,81,6,6,4,6,9
17,38,43,29,8,2,4,3,10
18,11,47,77,1,3,9,3,0
19,15,16,92,5,5,3,3,9
20,31,58,29,6,6,2,4,2
21,37,13,70,3,6,7,5,9
22,14,11,13,4,7,4,8,8
23,11,35,21,1,7,0,1,3
24,19,64,86,7,4,5,3,0
25,39,18,24,0,4,7,8,9
26,21,58,92,7,3,10,6,2
27,16,62,77,1,10,1,8,2
28,28,87,82,4,0,4,7,9
29,24,45,45,9,5,1,3,7
30,36,55,17,4,1,9,10,7
31,10,59,40,10,2,7,7,6
32,20,61,19,0,9,4,7,7
33,29,82,33,2,9,10,3,2
34,13,17,97,8,2,2,6,7
35,36,100,8,9,9,8,10,1
36,15,74,12,2,4,2,8,4
37,35,98,82,2,6,4,2,5
38,26,16,15,6,3,5,3,4
39,20,20,70,1,2,7,8,7
40,20,46,26,6,2,10,5,9
