student-id,efficacy-score,agreeableness-score,conscientiousness-score,relevant-course-1-number,relevant-course-2-number,relevant-course-3-number,relevant-course-4-number,relevant-course-5-number
1,38,4,0,1,3,10,9,10
2,15,89,91,6,3,6,8,2
3,14,100,21,1,6,0,10,6
4,40,11,6,2,6,0,1,0
5,34,88,40,2,7,3,7,7
6,22,98,74,9,1,8,5,5
7,12,90,97,1,0,8,1,7
8,39,45,89,6,1,1,3,1
9,18,36,83,5,7,5,9,4
10,28,28,16,2,10,1,2,0
11,26,53,77,4,7,5,3,10
12,17,15,58,4,8,9,10,5
13,39,23,1,9,0,1,8,6
14,30,40,35,0,5,9,1,1
15,30,1,77,8,8,3,3,10
16,33,89,64,4,3,7,6,8
17,21,66,62,5,3,2,10,3
18,35,66,99,4,5,9,2,10
19,22,65,17,10,10,7,7,1
20,13,74,53,4,1,3,8,4
21,11,48,51,9,1,9,1,0
22,24,39,53,1,2,6,8,9
23,36,40,33,6,5,4,1,0
24,20,99,11,2,0,2,8,10
25,22,38,90,2,10,9,4,1
26,24,33,15,3,8,1,0,5
27,14,53,74,3,4,6,10,5
28,20,71,6,1,8,1,1,7
29,24,45,47,5,0,2,1,9
30,23,98,16,0,4,6,5,4
31,14,60,11,7,5,3,5,6
32,17,75,82,5,5,10,6,3
33,15,59,33,9,8,7,4,6
34,17,23,72,2,2,6,10,10
35,13,21,9,9,8,2,8,9
36,31,15,43,2,6,0,2,5
37,11,12,20,3,0,6,6,4
38,11,49,15,6,8,7,0,4
39,26,23,68,10,4,5,9,10
40,20,2,44,9,1,7,3,2
