1,34,28,39
2,27,29,11
3,28,18,26
4,39,43,24
5,15,15,16
6,39,40,33
7,12,37,29
8,14,44,39
9,13,31,42
10,21,41,31
11,30,16,42
12,37,14,31
13,17,36,37
14,17,33,31
15,28,30,15
16,30,19,9
17,30,36,22
18,27,36,37
19,30,19,28
20,26,21,41
21,18,27,16
22,21,26,17
23,13,30,24
24,33,11,15
25,35,18,15
26,19,34,39
27,26,13,20
28,33,38,11
29,31,27,11
30,19,32,32
31,30,32,38
32,12,9,40
33,14,43,32
34,10,16,35
35,32,30,40
36,15,17,27
37,13,38,10
38,33,11,35
39,32,42,30
40,31,27,42
