0.35,0.61,0.41,1,5,1,4,3,a
0.325,0.36,0.1,2,2,0,1,2,b
0.525,0.3,0.5,4,2,0,2,0,c
0.65,0.07,0.12,4,5,3,5,4,d
0.8,0.17,0.51,5,3,3,3,5,e
0.625,0.26,0.47,0,5,2,0,4,c
0.875,0.2,0.52,0,5,5,5,2,e
0.925,0.14,0.57,3,3,5,1,3,e
0.65,0.35,0.39,2,4,3,3,2,c
0.85,0.21,0.52,5,1,3,2,1,e
0.35,0.69,0.48,3,2,4,2,0,a
0.65,0.3,0.43,4,3,2,5,5,c
0.9,0.09,0.5,3,5,3,2,4,e
0.925,0.05,0.61,3,4,1,2,4,e
0.65,0.3,0.49,0,1,2,1,3,c
0.975,0.05,0.41,5,5,5,1,2,e
0.75,0.04,0.22,1,0,0,2,0,d
0.675,0.28,0.49,2,5,4,1,0,c
0.425,0.64,0.55,4,0,0,1,0,a
0.6,0.17,0.43,5,0,1,3,1,c
0.575,0.16,0.35,5,2,3,0,2,c
0.625,0.36,0.53,2,0,3,4,0,c
0.8,0.15,0.6,3,2,3,5,3,e
0.65,0.2,0.54,0,0,3,5,2,c
1.0,0.2,0.43,4,4,4,2,3,e
0.35,0.58,0.41,1,4,5,5,2,a
0.675,0.28,0.48,1,3,4,0,2,c
0.75,0.26,0.61,2,0,1,3,2,c
0.4,0.66,0.48,2,4,4,3,5,a
0.5,0.59,0.36,5,1,4,4,5,a
0.925,0.05,0.56,2,3,0,5,3,e
0.7,0.33,0.54,4,1,0,2,0,c
0.5,0.62,0.44,0,3,4,5,4,a
0.875,0.04,0.52,1,1,0,5,0,e
0.75,0.35,0.53,1,3,3,5,5,c
0.35,0.5,0.45,1,5,2,5,0,a
0.325,0.6,0.45,0,0,5,5,1,a
0.35,0.76,0.48,4,2,4,3,1,a
0.775,0.21,0.43,3,5,1,5,1,c
0.75,0.17,0.58,3,4,1,3,5,c
0.425,0.56,0.3,4,4,4,2,3,a
0.65,0.28,0.49,4,4,0,3,1,c
0.475,0.7,0.51,1,5,0,3,3,a
0.625,0.14,0.41,1,4,4,3,1,c
0.975,0.08,0.41,2,5,4,1,3,e
0.325,0.61,0.37,1,2,4,5,0,a
0.8,0.19,0.6,1,2,3,4,3,e
0.6,0.24,0.53,0,3,0,5,1,c
0.275,0.64,0.34,1,1,5,1,4,a
0.775,0.17,0.36,3,0,5,5,5,c
0.675,0.19,0.48,5,2,3,5,2,c
0.8,0.03,0.44,4,2,5,1,4,e
0.675,0.2,0.58,0,4,5,2,5,c
0.575,0.18,0.41,1,0,1,2,5,c
0.625,0.18,0.48,1,4,2,5,5,c
0.6,0.29,0.44,2,5,0,0,3,c
0.8,0.25,0.49,4,5,2,4,0,c
0.7,0.12,0.37,0,5,3,5,2,c
0.9,0.21,0.47,5,0,5,5,5,e
0.675,0.18,0.56,1,4,0,0,5,c
0.25,0.28,0.03,4,4,3,3,0,b
0.375,0.53,0.42,1,2,4,0,0,a
0.875,0.11,0.58,5,3,3,0,1,e
0.825,0.14,0.6,5,1,0,4,1,e
0.675,0.31,0.57,4,1,5,2,3,c
1.0,0.1,0.6,1,3,2,3,0,e
0.25,0.37,0.03,5,5,3,4,3,b
0.85,0.07,0.47,5,1,4,3,4,e
0.35,0.57,0.37,1,2,2,3,3,a
0.775,0.18,0.44,5,4,5,1,3,c
0.275,0.63,0.43,0,2,1,3,4,a
0.45,0.68,0.54,1,3,0,2,0,a
0.675,0.3,0.46,5,1,2,2,4,c
0.9,0.22,0.44,0,3,1,5,3,e
0.55,0.29,0.59,0,5,1,5,5,c
0.85,0.12,0.51,5,0,4,0,1,e
0.8,0.24,0.45,5,1,3,1,1,e
0.275,0.23,0.13,4,5,0,0,0,b
0.425,0.75,0.38,4,1,3,4,1,a
0.25,0.34,0.12,3,1,5,4,0,b
0.975,0.24,0.63,0,5,3,1,4,e
0.4,0.55,0.46,0,1,2,1,1,a
0.75,0.29,0.41,0,0,3,4,5,c
0.825,0.08,0.55,2,2,5,3,4,e
0.75,0.33,0.4,4,0,5,4,2,c
0.275,0.58,0.31,1,5,2,1,4,a
0.625,0.31,0.4,1,1,5,4,5,c
0.25,0.31,0.1,4,0,4,3,2,b
0.7,0.21,0.5,2,0,4,5,0,c
0.7,0.14,0.45,0,5,1,0,3,c
0.275,0.61,0.42,2,3,4,3,4,a
0.825,0.08,0.6,5,2,1,3,0,e
0.575,0.15,0.6,1,1,0,0,2,c
0.675,0.17,0.54,1,5,4,3,5,c
0.65,0.27,0.54,3,4,3,5,3,c
0.4,0.63,0.4,2,3,3,0,4,a
0.75,0.21,0.52,4,5,2,4,3,c
0.9,0.13,0.58,0,4,0,3,4,e
0.775,0.23,0.57,2,0,4,3,4,c
1.0,0.09,0.47,3,1,4,2,4,e
0.625,0.28,0.56,4,4,5,1,2,c
0.675,0.13,0.4,2,5,3,0,0,c
0.65,0.38,0.51,2,4,2,1,5,c
0.475,0.63,0.49,3,4,2,0,4,a
0.65,0.23,0.42,1,5,0,5,3,c
0.875,0.08,0.43,0,5,0,4,2,e
0.925,0.05,0.5,0,0,3,2,5,e
0.85,0.17,0.45,3,3,1,3,5,c
0.8,0.04,0.44,0,4,3,3,2,e
0.825,0.08,0.51,3,3,5,5,3,e
0.25,0.3,0.17,0,0,3,0,5,b
0.275,0.38,0.16,0,0,4,3,4,b
0.725,0.15,0.42,3,5,0,5,2,c
1.0,0.03,0.6,2,0,4,4,0,e
0.25,0.47,0.18,0,2,1,2,3,b
0.35,0.77,0.35,4,0,2,4,3,a
1.0,0.22,0.53,4,2,2,4,5,e
0.9,0.04,0.61,5,5,2,0,1,e
0.675,0.31,0.39,2,0,4,4,4,c
0.975,0.0,0.53,0,2,3,3,5,e
0.475,0.73,0.47,4,4,0,5,5,a
0.7,0.16,0.4,0,1,2,5,5,c
0.575,0.18,0.38,3,4,5,5,3,c
0.325,0.65,0.37,3,0,2,0,5,a
0.45,0.65,0.3,1,5,5,0,3,a
0.825,0.16,0.51,4,1,3,4,3,e
0.925,0.18,0.48,0,1,1,5,1,e
0.575,0.22,0.52,1,2,5,4,1,c
0.3,0.55,0.35,5,2,1,1,2,a
0.8,0.17,0.55,1,5,5,0,0,e
0.825,0.09,0.36,5,1,4,0,3,e
0.325,0.52,0.34,2,1,2,0,4,a
0.85,0.21,0.58,0,3,0,5,5,e
0.825,0.14,0.56,4,1,5,0,1,e
0.725,0.3,0.42,3,0,2,1,1,c
0.8,0.15,0.59,1,5,1,1,0,e
0.3,0.56,0.51,0,2,4,1,5,a
0.9,0.19,0.48,1,0,3,0,3,e
0.75,0.35,0.53,0,2,3,1,5,c
0.875,0.16,0.54,4,3,2,5,3,e
0.875,0.06,0.47,2,1,3,0,3,e
0.425,0.57,0.35,0,0,4,0,1,a
0.275,0.64,0.39,4,1,2,1,4,a
0.95,0.17,0.36,2,1,3,4,1,e
0.975,0.14,0.49,2,5,0,3,2,e
0.65,0.26,0.57,1,1,4,3,1,c
0.6,0.27,0.57,1,1,1,2,2,c
0.9,0.15,0.5,1,4,3,0,1,e
0.35,0.52,0.52,3,5,0,3,3,a
0.675,0.27,0.5,4,1,1,1,5,c
0.425,0.62,0.38,1,1,4,5,4,a
0.65,0.29,0.52,1,3,4,1,3,c
0.3,0.65,0.52,3,2,1,3,0,a
0.375,0.63,0.47,5,1,2,1,1,a
0.95,0.03,0.38,0,2,3,4,2,e
0.675,0.25,0.4,2,2,3,3,1,c
0.4,0.61,0.48,5,1,3,4,1,a
0.875,0.07,0.55,3,4,4,3,0,e
0.7,0.33,0.45,4,1,5,5,0,c
0.375,0.62,0.48,2,4,2,4,0,a
0.575,0.32,0.48,3,1,5,3,2,c
0.625,0.31,0.51,2,5,0,0,1,c
0.9,0.12,0.55,0,2,5,5,1,e
0.65,0.11,0.35,3,1,1,2,1,c
0.25,0.55,0.47,5,5,2,0,3,a
0.3,0.73,0.34,1,3,5,5,1,a
0.525,0.19,0.52,4,4,0,5,1,c
0.875,0.09,0.57,4,3,5,3,4,e
0.95,0.34,0.41,3,3,5,5,4,e
0.625,0.17,0.37,0,0,3,4,1,c
0.85,0.14,0.54,1,0,0,5,1,e
0.575,0.36,0.59,0,0,3,1,5,c
0.9,0.21,0.41,2,1,0,0,0,e
0.375,0.69,0.43,0,4,0,5,0,a
0.275,0.77,0.31,1,3,0,2,0,a
0.975,0.09,0.49,0,2,1,4,3,e
0.925,0.22,0.43,4,0,5,0,3,e
0.475,0.69,0.51,0,5,0,5,5,a
0.7,0.2,0.43,0,2,1,1,0,c
0.4,0.56,0.48,3,3,1,1,3,a
0.7,0.33,0.43,4,3,2,4,2,c
1.0,0.21,0.53,1,2,5,2,5,e
0.425,0.67,0.35,0,4,0,0,4,a
0.575,0.3,0.42,2,1,1,0,1,c
0.425,0.65,0.4,4,3,5,2,2,a
0.5,0.56,0.31,2,0,0,3,1,a
0.55,0.17,0.41,1,3,2,0,0,c
0.65,0.25,0.58,1,1,5,1,4,c
0.65,0.32,0.4,3,5,0,3,5,c
0.7,0.25,0.47,2,4,2,2,2,c
0.575,0.12,0.58,5,3,5,5,2,c
0.3,0.61,0.39,0,2,4,3,2,a
0.7,0.18,0.48,3,1,0,2,2,c
0.35,0.5,0.5,3,4,1,2,1,a
0.4,0.63,0.49,4,1,0,5,5,a
0.8,0.19,0.43,2,4,2,5,0,c
0.625,0.34,0.44,0,3,1,5,3,c
0.85,0.15,0.51,4,5,0,3,4,e
0.85,0.07,0.49,2,3,3,2,2,e
0.25,0.57,0.39,3,5,2,1,4,a
0.825,0.02,0.49,1,2,4,3,4,e
0.525,0.26,0.53,1,0,4,5,1,c
0.375,0.49,0.39,5,2,0,5,1,a
0.6,0.3,0.6,0,5,3,3,1,c
1.0,0.05,0.5,4,1,1,4,1,e
1.0,0.18,0.61,4,4,3,2,3,e
1.0,0.15,0.38,5,0,5,5,1,e
0.7,0.19,0.54,4,2,4,5,0,c
0.425,0.58,0.48,5,4,3,0,2,a
0.825,0.08,0.49,1,0,1,4,3,e
0.775,0.14,0.19,2,1,3,3,0,d
0.55,0.34,0.41,2,1,2,5,5,c
0.275,0.58,0.36,4,0,0,3,5,a
0.8,0.18,0.11,2,4,5,1,3,d
0.275,0.63,0.32,4,3,4,5,3,a
0.825,0.14,0.24,5,2,5,2,2,d
1.0,0.07,0.49,4,1,0,2,0,e
0.7,0.17,0.52,3,3,1,5,4,c
0.7,0.23,0.58,2,3,2,0,3,c
0.775,0.22,0.2,0,0,0,2,5,d
0.45,0.29,0.11,2,3,3,5,5,b
0.65,0.36,0.45,1,3,3,2,3,c
0.8,0.1,0.15,0,0,4,3,2,d
0.65,0.25,0.47,4,4,5,2,5,c
0.825,0.24,0.2,0,0,0,3,0,d
0.775,0.17,0.55,5,0,0,5,1,c
0.275,0.26,0.1,2,4,3,2,1,b
0.6,0.25,0.47,0,4,0,0,1,c
0.375,0.49,0.54,1,5,5,4,2,a
0.675,0.25,0.44,3,2,1,4,0,c
0.95,0.14,0.46,2,1,1,2,2,e
0.875,0.19,0.15,0,4,3,0,3,d
0.6,0.19,0.34,5,2,2,5,2,c
0.25,0.32,0.09,4,3,4,3,0,b
0.575,0.11,0.4,2,1,0,1,1,c
0.55,0.15,0.51,5,4,5,4,5,c
0.975,0.21,0.56,3,3,0,2,0,e
0.825,0.14,0.05,0,5,3,5,2,d
0.375,0.62,0.45,4,2,4,2,3,a
0.925,0.24,0.2,2,3,5,3,3,d
0.4,0.68,0.34,5,5,5,3,0,a
0.85,0.24,0.21,0,5,3,2,4,d
0.4,0.74,0.49,1,3,5,0,1,a
0.425,0.65,0.48,5,2,5,1,1,a
0.85,0.1,0.2,4,4,0,5,2,d
0.25,0.57,0.34,1,5,1,2,0,a
