student-id,efficacy-score,agreeableness-score,conscientiousness-score,relevant-course-1-number,relevant-course-2-number,relevant-course-3-number,relevant-course-4-number,relevant-course-5-number
1,36,9,98,1,0,8,6,7
2,37,29,22,0,6,9,3,6
3,36,26,9,9,6,8,5,5
4,13,11,83,5,4,9,10,4
5,28,78,50,2,3,2,6,1
6,38,7,26,10,7,6,8,6
7,36,24,86,1,8,10,9,2
8,12,53,75,0,2,6,9,4
9,39,16,82,5,7,3,1,10
10,26,48,47,2,2,9,0,6
11,35,7,83,3,0,3,5,3
12,35,73,29,5,0,1,7,3
13,13,65,4,0,5,6,7,6
14,12,95,94,3,0,2,7,7
15,35,77,3,8,5,7,2,4
16,28,99,71,1,10,8,10,1
17,23,14,87,9,0,4,3,1
18,32,16,49,8,10,10,2,7
19,24,25,4,2,6,9,0,9
20,27,84,12,6,0,3,10,1
21,14,51,79,2,3,10,2,6
22,33,97,64,4,7,9,10,1
23,26,63,16,2,6,9,3,6
24,33,37,15,4,9,5,8,1
25,25,55,11,4,3,0,6,1
26,36,48,99,3,6,9,5,6
27,34,47,58,0,0,3,6,5
28,38,73,39,1,5,4,0,3
29,17,31,92,2,5,10,8,6
30,16,62,74,4,8,8,7,9
31,33,41,69,2,9,1,1,9
32,27,90,84,10,5,8,4,5
33,30,34,27,2,2,6,3,2
34,25,50,89,1,7,4,1,9
35,14,90,69,9,0,7,7,4
36,25,2,30,6,2,6,5,8
37,22,6,39,2,0,7,7,6
38,27,21,72,5,10,10,4,7
39,19,85,19,8,3,10,3,8
40,20,38,31,10,7,0,0,3
41,17,26,28,1,6,4,1,4
42,19,36,45,0,7,6,6,6
43,25,61,33,0,10,3,4,10
44,30,15,1,0,5,2,10,2
45,37,46,35,0,3,8,4,10
46,25,34,92,10,9,3,2,0
47,18,43,61,4,7,3,8,2
48,35,60,19,8,0,3,7,1
49,32,16,1,9,3,2,4,10
50,29,77,60,7,4,0,6,3
51,36,86,91,6,9,9,9,9
52,31,25,57,8,3,9,6,2
53,14,47,27,5,2,0,5,1
54,10,22,80,1,10,3,7,5
55,37,67,2,7,6,0,8,8
56,16,45,5,3,8,8,5,3
57,31,11,6,3,10,9,8,9
58,12,96,39,0,3,4,4,0
59,25,67,12,5,5,1,2,3
60,19,100,92,1,6,0,3,6
61,18,82,12,8,1,5,8,5
62,15,32,31,1,2,5,5,6
63,30,25,40,4,6,1,0,10
64,30,80,50,6,1,7,3,5
65,10,61,41,0,0,7,4,3
66,17,30,39,2,2,5,6,10
67,22,100,21,8,10,2,5,2
68,39,42,40,5,5,0,10,2
69,20,46,93,5,1,4,7,8
70,17,7,75,0,6,1,5,3
71,37,61,5,10,5,5,1,9
72,10,86,44,6,10,9,6,6
